name;;source;;;Imager Center;;;Imager Top;;;Imager Right;;;
;x;y;z;x;y;z;x;y;z;x;y;z
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00000.tif;0.461036;-147.67;306.406;-0.753583;-141.345;-500.817;-1.69202;74.0462;-499.128;106.645;-140.877;-500.905;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00001.tif;2.18;-147.67;306.399;-3.5632;-141.345;-500.805;-4.49214;74.0462;-499.111;103.834;-140.877;-501.495;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00002.tif;3.89886;-147.67;306.382;-6.37266;-141.345;-500.777;-7.29209;74.0461;-499.078;101.019;-140.877;-502.07;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00003.tif;5.61758;-147.67;306.355;-9.18188;-141.345;-500.734;-10.0918;74.0462;-499.029;98.2004;-140.877;-502.629;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00004.tif;7.33614;-147.67;306.319;-11.9909;-141.345;-500.674;-12.8912;74.0461;-498.965;95.3791;-140.877;-503.172;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00005.tif;9.05445;-147.67;306.273;-14.7994;-141.345;-500.599;-15.6901;74.0461;-498.884;92.5548;-140.877;-503.699;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00006.tif;10.7725;-147.67;306.217;-17.6075;-141.345;-500.508;-18.4886;74.0462;-498.789;89.7276;-140.877;-504.21;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00007.tif;12.4902;-147.67;306.152;-20.415;-141.345;-500.402;-21.2864;74.0461;-498.677;86.8977;-140.877;-504.706;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00008.tif;14.2075;-147.67;306.077;-23.222;-141.345;-500.279;-24.0837;74.0461;-498.55;84.0649;-140.877;-505.185;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00009.tif;15.9243;-147.67;305.992;-26.0282;-141.345;-500.141;-26.8802;74.0461;-498.407;81.2295;-140.877;-505.649;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00010.tif;17.6407;-147.67;305.898;-28.8335;-141.345;-499.987;-29.6758;74.0462;-498.248;78.3916;-140.877;-506.096;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00011.tif;19.3565;-147.67;305.794;-31.638;-141.345;-499.818;-32.4705;74.0462;-498.074;75.5511;-140.877;-506.528;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00012.tif;21.0717;-147.67;305.681;-34.4415;-141.345;-499.632;-35.2642;74.0462;-497.884;72.7083;-140.877;-506.944;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00013.tif;22.7862;-147.67;305.558;-37.2438;-141.345;-499.431;-38.0567;74.0462;-497.678;69.8633;-140.877;-507.344;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00014.tif;24.5001;-147.67;305.425;-40.0451;-141.345;-499.214;-40.8481;74.0462;-497.457;67.0159;-140.877;-507.728;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00015.tif;26.2131;-147.67;305.283;-42.845;-141.345;-498.982;-43.6381;74.0462;-497.22;64.1666;-140.877;-508.096;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00016.tif;27.9253;-147.67;305.131;-45.6436;-141.345;-498.734;-46.4269;74.0462;-496.967;61.3151;-140.877;-508.448;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00017.tif;29.6366;-147.67;304.97;-48.4407;-141.345;-498.47;-49.214;74.0461;-496.699;58.4619;-140.877;-508.784;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00018.tif;31.347;-147.67;304.799;-51.2363;-141.345;-498.19;-51.9997;74.0461;-496.415;55.6067;-140.877;-509.104;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00019.tif;33.0564;-147.67;304.618;-54.0304;-141.345;-497.895;-54.7838;74.0462;-496.116;52.7497;-140.877;-509.408;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00020.tif;34.7648;-147.67;304.428;-56.8227;-141.345;-497.584;-57.5661;74.0462;-495.8;49.8912;-140.877;-509.696;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00021.tif;36.4721;-147.67;304.228;-59.6133;-141.345;-497.257;-60.3467;74.0462;-495.47;47.031;-140.877;-509.968;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00022.tif;38.1782;-147.67;304.019;-62.4019;-141.345;-496.915;-63.1252;74.0462;-495.123;44.1694;-140.877;-510.223;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00023.tif;39.8831;-147.67;303.8;-65.1885;-141.345;-496.557;-65.9018;74.0462;-494.761;41.3064;-140.877;-510.463;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00024.tif;41.5868;-147.67;303.571;-67.9732;-141.345;-496.184;-68.6764;74.0462;-494.384;38.442;-140.877;-510.687;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00025.tif;43.2892;-147.67;303.333;-70.7557;-141.345;-495.795;-71.4488;74.0461;-493.991;35.5765;-140.877;-510.895;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00026.tif;44.9902;-147.67;303.086;-73.536;-141.345;-495.39;-74.219;74.0462;-493.582;32.7098;-140.877;-511.086;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00027.tif;46.6898;-147.67;302.828;-76.314;-141.345;-494.969;-76.9868;74.0462;-493.158;29.8421;-140.877;-511.262;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00028.tif;48.3879;-147.67;302.562;-79.0895;-141.345;-494.534;-79.7521;74.0462;-492.718;26.9735;-140.877;-511.421;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00029.tif;50.0845;-147.67;302.285;-81.8625;-141.345;-494.082;-82.515;74.0462;-492.263;24.1041;-140.877;-511.564;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00030.tif;51.7795;-147.67;302;-84.6331;-141.345;-493.615;-85.2753;74.0462;-491.793;21.2338;-140.877;-511.691;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00031.tif;53.4729;-147.67;301.704;-87.4009;-141.345;-493.133;-88.0329;74.0462;-491.307;18.3629;-140.877;-511.802;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00032.tif;55.1646;-147.67;301.4;-90.166;-141.345;-492.634;-90.7878;74.0462;-490.805;15.4914;-140.877;-511.897;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00033.tif;56.8546;-147.67;301.086;-92.9282;-141.345;-492.121;-93.5396;74.0461;-490.288;12.6195;-140.877;-511.976;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00034.tif;58.5428;-147.67;300.762;-95.6875;-141.345;-491.592;-96.2887;74.0462;-489.755;9.74705;-140.877;-512.039;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00035.tif;60.2291;-147.67;300.429;-98.4438;-141.345;-491.047;-99.0347;74.0462;-489.208;6.87443;-140.877;-512.086;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00036.tif;61.9136;-147.67;300.086;-101.197;-141.345;-490.487;-101.778;74.0462;-488.644;4.00153;-140.877;-512.116;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00037.tif;63.5961;-147.67;299.734;-103.947;-141.345;-489.912;-104.517;74.0461;-488.066;1.12853;-140.877;-512.13;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00038.tif;65.2765;-147.67;299.373;-106.694;-141.345;-489.321;-107.254;74.0462;-487.472;-1.74448;-140.877;-512.129;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00039.tif;66.955;-147.67;299.002;-109.437;-141.345;-488.715;-109.987;74.0462;-486.862;-4.61755;-140.877;-512.111;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00040.tif;68.6313;-147.67;298.621;-112.177;-141.345;-488.093;-112.716;74.0462;-486.238;-7.4903;-140.877;-512.077;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00041.tif;70.3055;-147.67;298.232;-114.913;-141.345;-487.456;-115.442;74.0461;-485.598;-10.3629;-140.877;-512.027;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00042.tif;71.9774;-147.67;297.832;-117.646;-141.345;-486.804;-118.164;74.0462;-484.942;-13.2352;-140.877;-511.961;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00043.tif;73.6471;-147.67;297.424;-120.375;-141.345;-486.136;-120.883;74.0462;-484.272;-16.107;-140.877;-511.878;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00044.tif;75.3145;-147.67;297.006;-123.101;-141.345;-485.453;-123.598;74.0462;-483.586;-18.9785;-140.877;-511.78;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00045.tif;76.9795;-147.67;296.579;-125.822;-141.345;-484.755;-126.309;74.0462;-482.885;-21.8493;-140.877;-511.665;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00046.tif;78.6422;-147.67;296.142;-128.54;-141.345;-484.041;-129.016;74.0462;-482.169;-24.7194;-140.877;-511.535;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00047.tif;80.3022;-147.67;295.697;-131.253;-141.345;-483.313;-131.719;74.0462;-481.437;-27.5886;-140.877;-511.388;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00048.tif;81.9598;-147.67;295.241;-133.962;-141.345;-482.569;-134.418;74.0462;-480.691;-30.4571;-140.877;-511.225;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00049.tif;83.6148;-147.67;294.777;-136.667;-141.345;-481.81;-137.112;74.0462;-479.929;-33.3246;-140.877;-511.046;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00050.tif;85.2672;-147.67;294.303;-139.368;-141.345;-481.035;-139.802;74.0462;-479.153;-36.191;-140.877;-510.851;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00051.tif;86.9169;-147.67;293.82;-142.065;-141.345;-480.246;-142.488;74.0462;-478.361;-39.0563;-140.877;-510.64;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00052.tif;88.5638;-147.67;293.328;-144.757;-141.345;-479.441;-145.17;74.0461;-477.554;-41.9203;-140.877;-510.413;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00053.tif;90.208;-147.67;292.827;-147.444;-141.345;-478.622;-147.846;74.0462;-476.732;-44.7831;-140.877;-510.17;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00054.tif;91.8494;-147.67;292.316;-150.127;-141.345;-477.787;-150.519;74.0462;-475.895;-47.6445;-140.877;-509.911;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00055.tif;93.4877;-147.67;291.796;-152.805;-141.345;-476.937;-153.186;74.0461;-475.043;-50.5042;-140.877;-509.635;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00056.tif;95.1232;-147.67;291.267;-155.478;-141.345;-476.073;-155.848;74.0461;-474.176;-53.3624;-140.877;-509.344;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00057.tif;96.7558;-147.67;290.729;-158.146;-141.345;-475.193;-158.506;74.0462;-473.295;-56.219;-140.877;-509.037;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00058.tif;98.3852;-147.67;290.181;-160.809;-141.345;-474.298;-161.159;74.0462;-472.398;-59.0738;-140.877;-508.713;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00059.tif;100.012;-147.67;289.625;-163.468;-141.345;-473.389;-163.806;74.0462;-471.486;-61.9267;-140.877;-508.374;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00060.tif;101.635;-147.67;289.059;-166.121;-141.345;-472.464;-166.449;74.0461;-470.56;-64.7777;-140.877;-508.018;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00061.tif;103.255;-147.67;288.485;-168.769;-141.345;-471.525;-169.086;74.0462;-469.619;-67.6266;-140.877;-507.647;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00062.tif;104.872;-147.67;287.901;-171.411;-141.345;-470.571;-171.718;74.0461;-468.663;-70.4734;-140.877;-507.26;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00063.tif;106.485;-147.67;287.308;-174.049;-141.345;-469.602;-174.344;74.0461;-467.692;-73.3181;-140.877;-506.856;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00064.tif;108.095;-147.67;286.706;-176.68;-141.345;-468.618;-176.965;74.0462;-466.707;-76.1604;-140.877;-506.437;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00065.tif;109.702;-147.67;286.095;-179.306;-141.345;-467.619;-179.581;74.0461;-465.707;-79.0003;-140.877;-506.002;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00066.tif;111.305;-147.67;285.475;-181.927;-141.345;-466.606;-182.19;74.0462;-464.692;-81.8376;-140.877;-505.551;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00067.tif;112.905;-147.67;284.846;-184.542;-141.345;-465.578;-184.795;74.0462;-463.662;-84.6725;-140.877;-505.084;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00068.tif;114.501;-147.67;284.208;-187.151;-141.345;-464.536;-187.393;74.0462;-462.618;-87.5046;-140.877;-504.601;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00069.tif;116.094;-147.67;283.562;-189.754;-141.345;-463.478;-189.985;74.0462;-461.56;-90.3341;-140.877;-504.102;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00070.tif;117.683;-147.67;282.906;-192.351;-141.345;-462.407;-192.571;74.0462;-460.487;-93.1605;-140.877;-503.587;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00071.tif;119.268;-147.67;282.241;-194.942;-141.345;-461.32;-195.152;74.0461;-459.399;-95.9843;-140.877;-503.057;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00072.tif;120.849;-147.67;281.568;-197.527;-141.345;-460.219;-197.726;74.0461;-458.297;-98.8048;-140.877;-502.51;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00073.tif;122.427;-147.67;280.885;-200.106;-141.345;-459.104;-200.294;74.0462;-457.181;-101.622;-140.877;-501.948;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00074.tif;124.001;-147.67;280.194;-202.678;-141.345;-457.974;-202.855;74.0461;-456.05;-104.437;-140.877;-501.37;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00075.tif;125.571;-147.67;279.494;-205.244;-141.345;-456.83;-205.411;74.0461;-454.905;-107.248;-140.877;-500.776;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00076.tif;127.137;-147.67;278.785;-207.803;-141.345;-455.671;-207.959;74.0462;-453.745;-110.055;-140.877;-500.167;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00077.tif;128.699;-147.67;278.068;-210.356;-141.345;-454.498;-210.502;74.0462;-452.571;-112.86;-140.877;-499.541;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00078.tif;130.257;-147.67;277.341;-212.903;-141.345;-453.311;-213.037;74.0462;-451.383;-115.66;-140.877;-498.9;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00079.tif;131.81;-147.67;276.606;-215.443;-141.345;-452.11;-215.566;74.0462;-450.181;-118.457;-140.877;-498.244;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00080.tif;133.36;-147.67;275.862;-217.976;-141.345;-450.894;-218.088;74.0462;-448.965;-121.25;-140.877;-497.571;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00081.tif;134.906;-147.67;275.11;-220.502;-141.345;-449.664;-220.603;74.0462;-447.734;-124.04;-140.877;-496.883;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00082.tif;136.447;-147.67;274.349;-223.021;-141.345;-448.42;-223.112;74.0462;-446.49;-126.825;-140.877;-496.18;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00083.tif;137.984;-147.67;273.579;-225.533;-141.345;-447.162;-225.613;74.0462;-445.231;-129.607;-140.877;-495.46;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00084.tif;139.516;-147.67;272.801;-228.038;-141.345;-445.889;-228.107;74.0462;-443.958;-132.384;-140.877;-494.725;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00085.tif;141.045;-147.67;272.014;-230.536;-141.345;-444.603;-230.594;74.0462;-442.672;-135.158;-140.877;-493.975;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00086.tif;142.568;-147.67;271.218;-233.026;-141.345;-443.303;-233.074;74.0461;-441.371;-137.927;-140.877;-493.209;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00087.tif;144.088;-147.67;270.414;-235.51;-141.345;-441.989;-235.546;74.0462;-440.057;-140.691;-140.877;-492.427;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00088.tif;145.602;-147.67;269.601;-237.985;-141.345;-440.66;-238.011;74.0462;-438.728;-143.452;-140.877;-491.63;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00089.tif;147.112;-147.67;268.78;-240.454;-141.345;-439.318;-240.469;74.0462;-437.386;-146.208;-140.877;-490.818;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00090.tif;148.618;-147.67;267.951;-242.914;-141.345;-437.963;-242.919;74.0462;-436.03;-148.959;-140.877;-489.99;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00091.tif;150.119;-147.67;267.113;-245.368;-141.345;-436.593;-245.361;74.0462;-434.661;-151.705;-140.877;-489.147;
G:\Tomo\2023-07\jmletang\JeanYvesPart\Proj\img_00092.tif;151.615;-147.67;266.266;-247.813;-141.345;-435.21;-247.796;74.0462;-433.277;-154.447;-140.877;-488.288;
