name;;source;;;Imager Center;;;Imager Top;;;Imager Right;;;
;x;y;z;x;y;z;x;y;z;x;y;z
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00000.tif;39.8681;-167.077;46.0634;-301.11;-163.026;-347.901;-300.866;-19.632;-346.638;-191.335;-162.401;-440.164;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00001.tif;40.0644;-167.077;45.8928;-302.592;-163.026;-346.612;-302.343;-19.632;-345.35;-193.212;-162.401;-439.344;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00002.tif;40.2599;-167.077;45.7213;-304.069;-163.026;-345.317;-303.814;-19.632;-344.056;-195.086;-162.401;-438.515;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00003.tif;40.4547;-167.077;45.5491;-305.54;-163.026;-344.016;-305.28;-19.632;-342.757;-196.956;-162.401;-437.678;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00004.tif;40.6487;-167.077;45.376;-307.006;-163.026;-342.709;-306.74;-19.632;-341.45;-198.822;-162.401;-436.833;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00005.tif;40.842;-167.077;45.202;-308.466;-163.026;-341.395;-308.195;-19.632;-340.138;-200.685;-162.401;-435.981;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00006.tif;41.0346;-167.077;45.0273;-309.92;-163.026;-340.076;-309.644;-19.632;-338.819;-202.544;-162.401;-435.12;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00007.tif;41.2264;-167.077;44.8517;-311.369;-163.026;-338.75;-311.087;-19.632;-337.495;-204.4;-162.401;-434.252;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00008.tif;41.4175;-167.077;44.6754;-312.812;-163.026;-337.417;-312.525;-19.632;-336.164;-206.251;-162.401;-433.375;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00009.tif;41.6078;-167.077;44.4982;-314.25;-163.026;-336.079;-313.957;-19.632;-334.826;-208.099;-162.401;-432.491;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00010.tif;41.7974;-167.077;44.3202;-315.681;-163.026;-334.735;-315.384;-19.632;-333.483;-209.943;-162.401;-431.599;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00011.tif;41.9862;-167.077;44.1413;-317.107;-163.026;-333.384;-316.804;-19.632;-332.134;-211.784;-162.401;-430.699;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00012.tif;42.1742;-167.077;43.9617;-318.528;-163.026;-332.028;-318.219;-19.632;-330.779;-213.62;-162.401;-429.791;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00013.tif;42.3615;-167.077;43.7813;-319.942;-163.026;-330.665;-319.628;-19.632;-329.418;-215.453;-162.401;-428.875;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00014.tif;42.548;-167.077;43.6001;-321.35;-163.026;-329.296;-321.031;-19.632;-328.05;-217.282;-162.401;-427.951;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00015.tif;42.7337;-167.077;43.4181;-322.753;-163.026;-327.922;-322.428;-19.632;-326.677;-219.106;-162.401;-427.02;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00016.tif;42.9186;-167.077;43.2353;-324.15;-163.026;-326.541;-323.82;-19.632;-325.298;-220.927;-162.401;-426.081;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00017.tif;43.1028;-167.077;43.0517;-325.541;-163.026;-325.154;-325.206;-19.632;-323.912;-222.744;-162.401;-425.134;
