name;;source;;;Imager Center;;;Imager Top;;;Imager Right;;;
;x;y;z;x;y;z;x;y;z;x;y;z
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00000.tif;1.28751;-245.618;400.866;-1.46927;-238.888;-457.457;-2.40274;-23.4964;-455.765;213.927;-237.948;-458.266;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00001.tif;3.03083;-245.618;400.856;-3.45874;-238.888;-457.447;-4.38484;-23.4964;-455.751;211.932;-237.948;-459.192;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00002.tif;4.78218;-245.618;400.839;-5.4573;-238.888;-457.427;-6.37598;-23.4964;-455.727;209.924;-237.948;-460.114;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00003.tif;6.50181;-245.618;400.815;-7.4197;-238.888;-457.399;-8.33109;-23.4964;-455.696;207.948;-237.948;-461.01;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00004.tif;8.21808;-245.618;400.784;-9.37826;-238.888;-457.363;-10.2823;-23.4964;-455.656;205.972;-237.948;-461.896;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00005.tif;9.93815;-245.618;400.745;-11.3412;-238.888;-457.319;-12.2379;-23.4964;-455.607;203.988;-237.948;-462.776;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00006.tif;11.5738;-245.618;400.701;-13.2077;-238.888;-457.269;-14.0975;-23.4964;-455.554;202.097;-237.948;-463.605;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00007.tif;13.2863;-245.618;400.648;-15.1619;-238.888;-457.208;-16.0444;-23.4964;-455.489;200.114;-237.948;-464.464;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00008.tif;14.9785;-245.618;400.588;-17.0931;-238.888;-457.14;-17.9682;-23.4964;-455.417;198.15;-237.948;-465.305;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00009.tif;16.6337;-245.618;400.523;-18.9819;-238.888;-457.066;-19.8499;-23.4964;-455.339;196.226;-237.948;-466.12;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00010.tif;18.3557;-245.618;400.447;-20.9471;-238.888;-456.98;-21.8076;-23.4964;-455.25;194.22;-237.948;-466.96;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00011.tif;20.0137;-245.618;400.368;-22.8391;-238.888;-456.889;-23.6925;-23.4964;-455.156;192.284;-237.948;-467.76;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00012.tif;21.6444;-245.618;400.283;-24.7;-238.888;-456.792;-25.5463;-23.4964;-455.055;190.377;-237.948;-468.539;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00013.tif;23.315;-245.618;400.189;-26.6064;-238.888;-456.685;-27.4455;-23.4964;-454.945;188.42;-237.948;-469.33;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00014.tif;24.9945;-245.618;400.088;-28.5231;-238.888;-456.57;-29.3548;-23.4964;-454.825;186.448;-237.948;-470.116;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00015.tif;26.7159;-245.618;399.977;-30.4875;-238.888;-456.443;-31.3117;-23.4964;-454.695;184.424;-237.948;-470.914;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00016.tif;28.3316;-245.618;399.865;-32.3313;-238.888;-456.316;-33.1485;-23.4964;-454.565;182.52;-237.948;-471.656;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00017.tif;30.0225;-245.618;399.742;-34.2609;-238.888;-456.175;-35.0707;-23.4964;-454.42;180.523;-237.948;-472.423;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00018.tif;31.6405;-245.618;399.617;-36.1073;-238.888;-456.032;-36.9099;-23.4964;-454.275;178.609;-237.948;-473.15;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00019.tif;33.338;-245.618;399.479;-38.0444;-238.888;-455.875;-38.8396;-23.4964;-454.114;176.598;-237.948;-473.905;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00020.tif;35.0064;-245.618;399.336;-39.9484;-238.888;-455.712;-40.7362;-23.4964;-453.948;174.616;-237.948;-474.638;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00021.tif;36.7013;-245.618;399.184;-41.8825;-238.888;-455.538;-42.6628;-23.4964;-453.771;172.6;-237.948;-475.375;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00022.tif;38.3618;-245.618;399.028;-43.7775;-238.888;-455.36;-44.5505;-23.4964;-453.589;170.621;-237.948;-476.089;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00023.tif;40.0321;-245.618;398.864;-45.6835;-238.888;-455.173;-46.4491;-23.4964;-453.399;168.626;-237.948;-476.8;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00024.tif;41.6742;-245.618;398.696;-47.5575;-238.888;-454.981;-48.3157;-23.4964;-453.204;166.661;-237.948;-477.49;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00025.tif;43.3663;-245.618;398.515;-49.4884;-238.888;-454.775;-50.2391;-23.4964;-452.994;164.633;-237.948;-478.193;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00026.tif;45.0313;-245.618;398.331;-51.3885;-238.888;-454.564;-52.1317;-23.4964;-452.78;162.633;-237.948;-478.877;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00027.tif;46.6505;-245.618;398.144;-53.2364;-238.888;-454.351;-53.9723;-23.4964;-452.565;160.684;-237.948;-479.534;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00028.tif;48.2969;-245.618;397.948;-55.1151;-238.888;-454.127;-55.8437;-23.4964;-452.338;158.7;-237.948;-480.195;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00029.tif;50.0197;-245.618;397.735;-57.0811;-238.888;-453.884;-57.8019;-23.4964;-452.092;156.619;-237.948;-480.877;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00030.tif;51.6993;-245.618;397.52;-58.9979;-238.888;-453.639;-59.7111;-23.4964;-451.843;154.586;-237.948;-481.535;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00031.tif;53.3407;-245.618;397.303;-60.871;-238.888;-453.392;-61.5768;-23.4964;-451.593;152.596;-237.948;-482.169;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00032.tif;54.94;-245.618;397.085;-62.696;-238.888;-453.143;-63.3946;-23.4964;-451.341;150.653;-237.948;-482.78;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00033.tif;56.6563;-245.618;396.844;-64.6547;-238.888;-452.868;-65.3454;-23.4964;-451.063;148.565;-237.948;-483.426;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00034.tif;58.2722;-245.618;396.61;-66.4987;-238.888;-452.601;-67.1821;-23.4964;-450.793;146.594;-237.948;-484.027;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00035.tif;60.0021;-245.618;396.352;-68.4728;-238.888;-452.306;-69.1483;-23.4964;-450.496;144.481;-237.948;-484.662;
